"50","SPB-16188","2018-07-30 21:28",1906,1,"2018-07-30 21:35",1956,8,7,21,28,2018,7,30,0
"51","SPB-02231","2018-07-30 21:26",518,1,"2018-07-30 21:35",583,1,8,21,26,2018,7,30,0
"52","SPB-17540","2018-07-30 21:26",1535,2,"2018-07-30 21:35",1535,7,8,21,26,2018,7,30,1
"53","SPB-18249","2018-07-30 21:31",735,7,"2018-07-30 21:35",747,8,3,21,31,2018,7,30,0
"54","SPB-05341","2018-07-30 21:30",546,4,"2018-07-30 21:35",504,5,5,21,30,2018,7,30,0
"55","SPB-17494","2018-07-30 21:30",3518,8,"2018-07-30 21:35",3509,8,5,21,30,2018,7,30,0
"56","SPB-11153","2018-07-30 21:28",2141,7,"2018-07-30 21:35",2140,8,6,21,28,2018,7,30,0
"57","SPB-13832","2018-07-30 21:31",1151,18,"2018-07-30 21:35",1162,3,4,21,31,2018,7,30,0
"58","SPB-14163","2018-07-30 21:31",1851,4,"2018-07-30 21:36",1805,10,3,21,31,2018,7,30,0
"59","SPB-09258","2018-07-30 21:31",2368,8,"2018-07-30 21:36",2241,5,4,21,31,2018,7,30,0
"60","SPB-11427","2018-07-30 21:29",826,20,"2018-07-30 21:36",818,5,6,21,29,2018,7,30,0
"61","SPB-16345","2018-07-30 21:29",722,6,"2018-07-30 21:36",737,4,5,21,29,2018,7,30,0
"62","SPB-03687","2018-07-30 21:28",2302,4,"2018-07-30 21:36",2231,7,7,21,28,2018,7,30,0
"63","SPB-14635","2018-07-30 21:30",2264,5,"2018-07-30 21:36",2265,10,5,21,30,2018,7,30,0
"64","SPB-05554","2018-07-30 21:32",1103,10,"2018-07-30 21:36",1106,10,3,21,32,2018,7,30,0
"65","SPB-10846","2018-07-30 21:32",3518,7,"2018-07-30 21:36",539,10,3,21,32,2018,7,30,0
"66","SPB-12653","2018-07-30 21:30",3513,7,"2018-07-30 21:36",568,5,6,21,30,2018,7,30,0
"67","SPB-16797","2018-07-30 21:29",1201,4,"2018-07-30 21:36",1256,8,6,21,29,2018,7,30,0
"68","SPB-12149","2018-07-30 21:27",1904,5,"2018-07-30 21:36",1906,2,8,21,27,2018,7,30,0
"69","SPB-05734","2018-07-30 21:31",424,7,"2018-07-30 21:37",419,19,5,21,31,2018,7,30,0
"70","SPB-01827","2018-07-30 21:33",2003,5,"2018-07-30 21:37",2058,7,3,21,33,2018,7,30,0
"71","SPB-15288","2018-07-30 21:31",179,3,"2018-07-30 21:37",169,15,5,21,31,2018,7,30,0
"72","SPB-06855","2018-07-30 21:28",807,6,"2018-07-30 21:37",818,12,7,21,28,2018,7,30,0
"73","SPB-04115","2018-07-30 21:31",1839,10,"2018-07-30 21:37",1924,1,5,21,31,2018,7,30,0
"74","SPB-16107","2018-07-30 21:32",2003,4,"2018-07-30 21:37",2058,4,3,21,32,2018,7,30,0
"75","SPB-14212","2018-07-30 21:26",156,6,"2018-07-30 21:37",148,5,10,21,26,2018,7,30,0
"76","SPB-05246","2018-07-30 21:32",585,1,"2018-07-30 21:37",589,8,4,21,32,2018,7,30,0
